Logische Periode ; Endzeitstempel ; Wert ; Status ; Tarif 
06.01.2017;08:15:00;397,5;W;T0 
06.01.2017;08:30:00;372,5;W;T0 
06.01.2017;08:45:00;375;W;T0 
06.01.2017;09:00:00;367,5;W;T0 
06.01.2017;09:15:00;375;W;T0 
06.01.2017;09:30:00;355;W;T0 
06.01.2017;09:45:00;390;W;T0 
06.01.2017;10:00:00;390;W;T0 
06.01.2017;10:15:00;412,5;W;T0 
06.01.2017;10:30:00;417,5;W;T0 
06.01.2017;10:45:00;437,5;W;T0 
06.01.2017;11:00:00;425;W;T0 
06.01.2017;11:15:00;260;W;T0 
06.01.2017;11:30:00;270;W;T0 
06.01.2017;11:45:00;245;W;T0 
06.01.2017;12:00:00;225;W;T0 
06.01.2017;12:15:00;235;W;T0 
06.01.2017;12:30:00;145;W;T0 
06.01.2017;12:45:00;110;W;T0 
06.01.2017;13:00:00;77,5;W;T0 
06.01.2017;13:15:00;80;W;T0 
06.01.2017;13:30:00;32,5;W;T0 
06.01.2017;13:45:00;62,5;W;T0 
06.01.2017;14:00:00;40;W;T0 
06.01.2017;14:15:00;37,5;W;T0 
06.01.2017;14:30:00;52,5;W;T0 
06.01.2017;14:45:00;92,5;W;T0 
06.01.2017;15:00:00;110;W;T0 
06.01.2017;15:15:00;90;W;T0 
06.01.2017;15:30:00;120;W;T0 
06.01.2017;15:45:00;145;W;T0 
06.01.2017;16:00:00;147,5;W;T0 
06.01.2017;16:15:00;222,5;W;T0 
06.01.2017;16:30:00;250;W;T0 
06.01.2017;16:45:00;405;W;T0 
06.01.2017;17:00:00;427,5;W;T0 
06.01.2017;17:15:00;385;W;T0 
06.01.2017;17:30:00;285;W;T0 
06.01.2017;17:45:00;317,5;W;T0 
06.01.2017;18:00:00;392,5;W;T0 
06.01.2017;18:15:00;615;W;T0 
06.01.2017;18:30:00;485;W;T0 
06.01.2017;18:45:00;362,5;W;T0 
06.01.2017;19:00:00;357,5;W;T0 
06.01.2017;19:15:00;335;W;T0 
06.01.2017;19:30:00;325;W;T0 
06.01.2017;19:45:00;382,5;W;T0 
06.01.2017;20:00:00;350;W;T0 
06.01.2017;20:15:00;352,5;W;T0 
06.01.2017;20:30:00;312,5;W;T0 
06.01.2017;20:45:00;282,5;W;T0 
06.01.2017;21:00:00;275;W;T0 
06.01.2017;21:15:00;200;W;T0 
06.01.2017;21:30:00;155;W;T0 
06.01.2017;21:45:00;140;W;T0 
06.01.2017;22:00:00;122,5;W;T0 
06.01.2017;22:15:00;132,5;W;T0 
06.01.2017;22:30:00;117,5;W;T0 
06.01.2017;22:45:00;100;W;T0 
06.01.2017;23:00:00;112,5;W;T0 
06.01.2017;23:15:00;85;W;T0 
06.01.2017;23:30:00;60;W;T0 
06.01.2017;23:45:00;97,5;W;T0 
07.01.2017;00:00:00;82,5;W;T0 
07.01.2017;00:15:00;120;W;T0 
07.01.2017;00:30:00;120;W;T0 
07.01.2017;00:45:00;67,5;W;T0 
07.01.2017;01:00:00;37,5;W;T0 
07.01.2017;01:15:00;60;W;T0 
07.01.2017;01:30:00;57,5;W;T0 
07.01.2017;01:45:00;12,5;W;T0 
07.01.2017;02:00:00;0;W;T0 
07.01.2017;02:15:00;0;W;T0 
07.01.2017;02:30:00;0;W;T0 
07.01.2017;02:45:00;0;W;T0 
07.01.2017;03:00:00;0;W;T0 
07.01.2017;03:15:00;0;W;T0 
07.01.2017;03:30:00;0;W;T0 
07.01.2017;03:45:00;0;W;T0 
07.01.2017;04:00:00;0;W;T0 
07.01.2017;04:15:00;0;W;T0 
07.01.2017;04:30:00;0;W;T0 
07.01.2017;04:45:00;0;W;T0 
07.01.2017;05:00:00;0;W;T0 
07.01.2017;05:15:00;0;W;T0 
07.01.2017;05:30:00;0;W;T0 
07.01.2017;05:45:00;0;W;T0 
07.01.2017;06:00:00;0;W;T0 
07.01.2017;06:15:00;0;W;T0 
07.01.2017;06:30:00;0;W;T0 
07.01.2017;06:45:00;0;W;T0 
07.01.2017;07:00:00;0;W;T0 
07.01.2017;07:15:00;0;W;T0 
07.01.2017;07:30:00;0;W;T0 
07.01.2017;07:45:00;0;W;T0 
07.01.2017;08:00:00;0;W;T0 
07.01.2017;08:15:00;0;W;T0 
07.01.2017;08:30:00;0;W;T0 
07.01.2017;08:45:00;0;W;T0 
07.01.2017;09:00:00;0;W;T0 
07.01.2017;09:15:00;10;W;T0 
07.01.2017;09:30:00;0;W;T0 
07.01.2017;09:45:00;0;W;T0 
07.01.2017;10:00:00;0;W;T0 
